Review,Category,Sentiment
"The roti bakar with kaya was fair, acceptable quality but won't crave it. Just normal.",Menu,Neutral
"The sambal nasi lemak was too oily/sweet for my liking, couldn't finish it.",Menu,Negative
A hidden gem with a beautiful green garden concept.,Environment,Positive
"Honestly, the cashiers are so slow, the queue was stretching out the door.",Service,Negative
"They are polite enough, though service could be a bit faster. Just normal.",Service,Neutral
"The perfect place for a tea break, the rendang pasta is top notch. Will come back.",Menu,Positive
Prices are quite cheap and affordable for students.,Price,Positive
"Prices are reasonable enough, average for standard café food. Just normal.",Price,Neutral
"Not worth the price at all, left the place feeling unsatisfied and broke.",Price,Negative
"Average cleanliness and design, typical minimalist concept.",Environment,Neutral
"The shop smells a bit musty, needs better ventilation. Quite disappointed.",Environment,Negative
"Seating arrangement is very cramped, tables are too close together.",Environment,Negative
"Service was very slow, took 40 minutes just for a cup of coffee. Quite disappointed.",Service,Negative
"Highly recommend the gula melaka latte, it's the best I've tasted in KL.",Menu,Positive
"Love the chill vibes here, the lighting and background music are perfect.",Environment,Positive
"Ambiance is normal, nothing too special but comfortable enough. Just normal.",Environment,Neutral
"The matcha latte here is absolutely delicious, authentic flavor! Will come back.",Menu,Positive
"Extremely disappointed with the service, very unattentive staff.",Service,Negative
The toilet was dirty and the overall hygiene of the sitting area was poor. Quite disappointed.,Environment,Negative
"Honestly, the café is too noisy and crowded, cannot focus or talk properly.",Environment,Negative
"The café has a very cozy and relaxing atmosphere, love the design. Will come back.",Environment,Positive
The waiters are quiet but efficient enough.,Service,Neutral
"Standard café interior, practical for a quick coffee break.",Environment,Neutral
"The staff are okay, not super friendly but they get the job done. Just normal.",Service,Neutral
"Standard ordering at the counter, interaction was minimal. Just normal.",Service,Neutral
"The perfect place for a tea break, the flat white is top notch.",Menu,Positive
"Average cleanliness and design, typical minimalist concept. Just normal.",Environment,Neutral
They charge premium prices but give very small portions.,Price,Negative
"Standard taste for the rendang pasta, neither good nor bad. Just normal.",Menu,Neutral
"Honestly, service was very slow, took 40 minutes just for a cup of coffee.",Service,Negative
"Honestly, the place is decent, simple seating and standard layout.",Environment,Neutral
Surprisingly cheap compared to other aesthetic cafés in Bangsar.,Price,Positive
A hidden gem with a beautiful green garden concept. Will come back.,Environment,Positive
"Cleanliness is acceptable, standard café environment.",Environment,Neutral
"Honestly, the environment is okay, just a typical modern café setup.",Environment,Neutral
"Honestly, the cappuccino here is very overrated and underwhelming. Quite disappointed.",Menu,Negative
"Price doesn't match the taste, everything is overly expensive.",Price,Negative
I ordered the cappuccino but it arrived cold and unappetizing. Quite disappointed.,Menu,Negative
"The crew here is wonderful, very polite and professional.",Service,Positive
"I've had better mee goreng elsewhere, this one was quite disappointing.",Menu,Negative
"Food is alright, the nasi lemak pandan satisfies the hunger but that's it.",Menu,Neutral
"Too cramped and hot, not a comfortable spot to sit for long. Quite disappointed.",Environment,Negative
"Cheap and delicious, a rare find for a café nowadays. Will come back.",Price,Positive
Total rip-off. They charge so much for standard café food.,Price,Negative
"Ambiance is normal, nothing too special but comfortable enough.",Environment,Neutral
"Honestly, good portions for the price, won't break your bank.",Price,Positive
"Great layout, very peaceful and relaxing environment.",Environment,Positive
"Pricing is average, typical for a café in the city center.",Price,Neutral
"The crew here is wonderful, very polite and professional. Will come back.",Service,Positive
"The atmosphere is okay, just normal seating and decor.",Environment,Neutral
"Average café food, the gula melaka latte is just standard fare.",Menu,Neutral
"Had the matcha latte, it was decent but quite average.",Menu,Neutral
"Food is alright, the nasi lemak pandan satisfies the hunger but that's it. Just normal.",Menu,Neutral
"Prices are too high, RM20+ for a simple local dish is absurd.",Price,Negative
"Reasonably priced menu, very fair rates for everything. Will come back.",Price,Positive
"Fairly priced, matches the usual market rate for artisanal coffee.",Price,Neutral
The place looks quite rundown and the cleanliness can be improved.,Environment,Negative
"The salted egg croissant tastes standard, just like any other café.",Menu,Neutral
"The roti bakar with kaya was fair, acceptable quality but won't crave it.",Menu,Neutral
Portion for the iced latte was way too small and tasted mediocre. Quite disappointed.,Menu,Negative
"Standard pricing for this area, about what you'd expect to pay.",Price,Neutral
"Honestly, service is standard, took some time but acceptable.",Service,Neutral
"The salted egg croissant tastes standard, just like any other café.",Menu,Neutral
"Expected prices for a trendy café, standard damage to the wallet. Just normal.",Price,Neutral
"Standard café interior, practical for a quick coffee break. Just normal.",Environment,Neutral
"Value for money is excellent here, highly recommended. Will come back.",Price,Positive
